type,size,layers,bp,bt
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77
flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77
forward,3,S316:0.4_nickel:0.25_tef:0.3,8.03,20
forward,3,S316:0.05_nickel:0.25_tef:0.4,8.03,20
forward,3,S316:0.05_nickel:0.25_tef:0.2,8.03,20
forward,3,S316:0.05_nickel:0.25_tef:0.3,8.03,20
forward,4,inconel:1_s316L:0.05_tef:0.3,27.7,325
forward,4,inconel:1_s316L:0.05_tef:0.05,29.1,20
forward,4,inconel:1_s316L:0.05_tef:0.2,27.7,325
forward,4,inconel:1_s316L:0.05_tef:0.2,29.1,20
forward,3,s316L:0.2_s316L:0.1_tef:0.3,4.6,60
forward,3,s316L:0.2_s316L:0.1_tef:0.4,4.6,60
forward,3,s316L:0.2_s316L:0.1_tef:0.2,4.6,60
forward,3,s316L:0.3_s316L:0.1_tef:0.3,4.6,60
forward,3,s316L:0.3_s316L:0.1_tef:0.3,4.6,60
forward,1,S316L:0.05_S316L:0.1_tef:0.05,5,30
forward,4,inconel:0.42_s316L:0.1_tef:0.3,115,100
forward,4,inconel:0.42_s316L:0.1_tef:0.05,115,100
forward,4,inconel:0.42_s316L:0.1_tef:0.3,75,100
forward,4,inconel:0.42_s316L:0.1_tef:0.05,75,100
forward,1,s316L:0.1_s316L:0.1_tef:0.05,5,165
forward,1,s316L:0.1_s316L:0.1_tef:0.05,5,165
forward,1,s316L:0.1_s316L:0.1_tef:0.05,2.5,165
forward,1,s316L:0.1_s316L:0.1_tef:0.05,2.5,165
forward,1,s316L:0.1_s316L:0.1_tef:0.05,2.5,165
forward,1,s316L:0.1_s316L:0.1_tef:0.05,2.5,165
forward,1,s316L:0.1_s316L:0.1_tef:0.05,7,38
forward,1,s316L:0.1_s316L:0.1_tef:0.05,7,38
forward,1,s316L:0.1_s316L:0.1_tef:0.05,7,38
forward,1,s316L:0.1_s316L:0.1_tef:0.05,5,20
