id,type,size,layers,bp,bt,rbp,fh,drw
159,flat,24,s316:2_s316:0.5_tef:1.5,4,22,1.31,0,n
160,flat,24,s316:2_s316:0.5_tef:1.5,5,22,4.75,0,n
161,flat,24,s316:2_s316:0.5_tef:1.5,5,22,1.43,0,n
162,flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.54,0,n
163,flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.08,0,n
164,flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.23,0,n
165,flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.3,0,n
166,flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.28,0,n
167,flat,24,s316:3_s316:0.5_tef:0.5,6,22,5.5,0,n
168,flat,24,s316:3_s316:0.5_tef:0.5,6,22,6.17,0,n
169,flat,24,s316:3_s316:0.5_tef:0.5,6,22,2.27,0,n
170,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.81,0,n
171,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.98,0,n
172,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,1.1,0,n
173,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,1.2,0,n
174,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.6,0,n
175,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.68,0,n
176,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,1.42,0,n
177,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.54,0,n
178,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.46,0,n
179,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.39,0,n
180,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.44,0,n
181,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.6,0,n
182,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.65,0,n
183,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.62,0,n
184,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.35,0,n
185,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.47,0,n
186,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.39,0,n
187,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.54,0,n
188,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.54,0,n
189,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.52,0,n
190,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.55,0,n
191,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.15,0,n
192,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.47,0,n
193,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.48,0,n
194,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.51,0,n
195,flat,2,s316:0.1_s316:0.1_plastic:0.05,0.5,25,0.67,0,n
196,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,9.62,0,n
197,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,9.65,0,n
198,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,7.92,0,n
199,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,7.83,0,n
200,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.36,0,n
201,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.41,0,n
202,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.48,0,n
203,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.56,0,n
204,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.75,0,n
205,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,6.05,0,n
206,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,4.83,0,n
207,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,4.63,0,n
208,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.24,0,n
209,flat,6,s316:0.5_s316:0.5_tef:0.2,7.5,77,5.26,0,n
210,forward,3,S316:0.4_nickel:0.25_tef:0.3,8.03,20,9.8,0,n
211,forward,3,S316:0.05_nickel:0.25_tef:0.4,8.03,20,8.45,0,n
212,forward,3,S316:0.05_nickel:0.25_tef:0.2,8.03,20,7.65,0,n
213,forward,3,S316:0.05_nickel:0.25_tef:0.3,8.03,20,7.3,0,n
214,forward,4,inconel:1_s316L:0.05_tef:0.3,27.7,325,31,0,n
215,forward,4,inconel:1_s316L:0.05_tef:0.05,29.1,20,31.76,0,n
216,forward,4,inconel:1_s316L:0.05_tef:0.2,27.7,325,30.41,0,n
217,forward,4,inconel:1_s316L:0.05_tef:0.2,29.1,20,29.98,0,n
218,forward,3,s316L:0.2_s316L:0.1_tef:0.3,4.6,60,4.5,0,n
219,forward,3,s316L:0.2_s316L:0.1_tef:0.4,4.6,60,2.81,0,n
220,forward,3,s316L:0.2_s316L:0.1_tef:0.2,4.6,60,4.53,0,n
221,forward,3,s316L:0.3_s316L:0.1_tef:0.3,4.6,60,29.98,0,n
222,forward,3,s316L:0.3_s316L:0.1_tef:0.3,4.6,60,4.65,0,n
223,forward,1,S316L:0.05_S316L:0.1_tef:0.05,5,30,6.02,0,n
224,forward,4,inconel:0.42_s316L:0.1_tef:0.3,115,100,116.7,0,n
225,forward,4,inconel:0.42_s316L:0.1_tef:0.05,115,100,119.1,0,n
226,forward,4,inconel:0.42_s316L:0.1_tef:0.3,75,100,78.1,0,n
227,forward,4,inconel:0.42_s316L:0.1_tef:0.05,75,100,77.8,0,n
228,forward,1,s316L:0.1_s316L:0.1_tef:0.05,5,165,5.63,0,n
229,forward,1,s316L:0.1_s316L:0.1_tef:0.05,5,165,5.37,0,n
230,forward,1,s316L:0.1_s316L:0.1_tef:0.05,2.5,165,2.69,0,n
231,forward,1,s316L:0.1_s316L:0.1_tef:0.05,2.5,165,2.64,0,n
232,forward,1,s316L:0.1_s316L:0.1_tef:0.05,2.5,165,2.27,0,n
233,forward,1,s316L:0.1_s316L:0.1_tef:0.05,2.5,165,2.22,0,n
234,forward,1,s316L:0.1_s316L:0.1_tef:0.05,7,38,7.39,0,n
235,forward,1,s316L:0.1_s316L:0.1_tef:0.05,7,38,7.76,0,n
236,forward,1,s316L:0.1_s316L:0.1_tef:0.05,7,38,6.53,0,n
237,forward,1,s316L:0.1_s316L:0.1_tef:0.05,5,20,4.32,0,n
238,forward,1,s316L:0.1_s316L:0.1_tef:0.05,5,20,4.21,0,n
239,forward,3,s316L:0.1_s316L:0.1_tef:0.1,1,148,1.01,0,n
240,forward,3,s316L:0.1_s316L:0.1_tef:0.1,1,148,1.1,0,n
241,forward,3,s316L:0.1_s316L:0.1_tef:0.1,1,148,0.8,0,n
242,forward,3,s316L:0.1_s316L:0.1_tef:0.1,1,148,0.985,0,n
243,forward,1,s316L:0.05_s316L:0.05_s316L:0.05_tef:0.1,5,22,5.31,0,n
244,forward,1,s316L:0.05_s316L:0.05_s316L:0.05_tef:0.1,5,22,5.33,0,n
245,forward,1,s316L:0.05_s316L:0.2_s316L:0.05_tef:0.1,5,22,5.8,0,n
246,forward,1,s316L:0.05_s316L:0.05_s316L:0.05_tef:0.1,5,22,5.4,0,n
247,forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181,10.63,0,n
248,forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181,9.42,0,n
249,forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181,8.86,0,n
250,forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181,9.3,0,n
251,forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181,11.7,0,n
252,forward,1,s316L:0.1_s316L:0.1_tef:0.1,10,181,6.13,0,n
253,forward,1.5,s316L:0.1_s316L:0.1_tef:0.2,10,180,8.8,0,n
254,forward,1.5,s316L:0.1_s316L:0.1_s316L:0.1_tef:0.1,10,180,9.06,0,n
255,forward,1.5,s316L:0.1_s316L:0.1_s316L:0.1_tef:0.1,10,180,10.08,0,n
256,forward,1.5,s316L:0.2_s316L:0.1_s316L:0.1_tef:0.1,10,180,18.86,0,n
257,forward,1.5,s316L:0.1_s316L:0.1_s316L:0.1_tef:0.1,10,180,9.15,0,n
258,forward,3,s316L:0.3_s316L:0.1_tef:0.3,3.3,130,2.96,0,n
259,forward,3,s316L:0.3_s316L:0.1_tef:0.3,3.3,130,2.86,0,n
260,forward,3,s316L:0.3_s316L:0.1_tef:0.3,3.3,130,3.57,0,n
261,forward,3,s316L:0.3_s316L:0.1_tef:0.3,3.3,130,3.9,0,n
262,forward,3,s316L:0.3_s316L:0.1_tef:0.3,3.3,130,3.15,0,n
263,forward,4,s316L:0.3_s316L:0.1_tef:0.3,3.3,131,2.6,0,n
264,forward,4,s316L:0.3_s316L:0.1_tef:0.2,3.3,131,3.08,0,n
265,forward,4,s316L:0.3_s316L:0.1_tef:0.3,3.3,131,3.28,0,n
266,forward,4,s316L:0.3_s316L:0.1_tef:0.3,3.3,131,3.56,0,n
267,forward,4,s316L:0.3_s316L:0.1_tef:0.3,3.3,131,3.65,0,n
268,forward,4,s316L:0.3_s316L:0.1_tef:0.3,3.3,131,3.28,0,n
269,forward,16,s316L:0.4_s316L:0.1_fep:0.4,0.5,22,0.51,0,n
270,forward,16,s316L:0.4_s316L:0.1_fep:0.4,0.5,22,0.575,0,n
271,forward,4,inconel:1_ inconel:0.42_ptfe:0.5,17.2,65.6,15,0,n
272,forward,4,inconel:1_ inconel:0.42_ptfe:0.5,17.2,65.6,18.13,0,n
273,forward,6,s316L:0.6_s316L:0.2_s316L:0.1_ptfe:0.5,2.35,50,2.49,0,n
274,forward,6,s316L:0.6_s316L:0.2_s316L:0.1_ptfe:0.5,2.35,50,2.02,0,n
275,forward,6,s316L:0.6_s316L:0.2_s316L:0.1_ptfe:0.5,2.35,50,1.97,0,n
276,forward,6,s316L:0.6_s316L:0.2_s316L:0.1_ptfe:0.5,2.35,50,2.66,0,n
277,forward,4,s316L:1_s316L:0.6_ptfe:0.5,8.4,80,7.91,0,n
278,forward,4,s316L:1_s316L:0.6_ptfe:0.5,8.4,80,8.38,0,n
279,forward,4,s316L:1_s316L:0.6_ptfe:0.5,8.4,80,8.05,0,n
280,forward,2,s316:0.1_inconel:0.45_fep:0.1,3.25,75,3.75,0,n
281,forward,2,s316:0.1_inconel:0.45_fep:0.1,3.25,75,3.25,0,n
282,forward,12,s316:1.5_inconel:0.42_ptfe:0.5,16.17,81.67,9.59,0,n
283,forward,12,s316:1.5_inconel:0.42_ptfe:0.5,16.17,81.67,13.6,0,n
284,forward,12,s316:1.5_inconel:0.42_ptfe:0.5,16.17,81.67,15.3,0,n
285,forward,1,s316:0.1_s316:1_fep:.1,5,30,5.15,0,n
286,forward,1,s316:0.1_s316:1_fep:0.1,5,30,5.43,0,n
287,forward,1,s316:0.1_s316:1_fep:0.1,5,30,5.59,0,n
288,forward,1,s316:0.05_s316:0.05_fep:0.1,5,30,4.87,0,n
289,forward,1,s316:0.05_s316:0.05_fep:0.1,5,30,6.47,0,n
290,forward,1,s316:0.05_s316:0.05_fep:0.1,5,30,5.35,0,n
291,forward,1.5,s316:0.1_s316L:0.1_tef:0.1,2,135,1.35,0,n
292,forward,1.5,s316:0.1_s316L:0.1_tef:0.1,2,135,1.39,0,n
293,forward,1.5,s316:0.1_s316L:0.1_tef:0.1,2,135,2.09,0,n
294,forward,1.5,s316:0.1_s316L:0.1_tef:0.1,2,135,2.04,0,n
295,forward,1.5,s316:0.1_s316L:0.1_tef:0.1,2,135,1.99,0,n
296,forward,1.5,s316:0.1_s316:0.1_tef:0.3,2,135,2.25,0,n
297,forward,2,s316:0.1_s316:0.1_tef:0.3,3,60.2,3.2,0,n
298,forward,2,s316:0.1_s316:0.1_tef:0.3,3,60.2,2.94,0,n
299,forward,3,s316L:0.5_s316L:0.1_tef:0.5,3,48,2.57,0,n
300,forward,3,s316L:0.3_s316L:0.1_tef:0.5,3,48,3.47,0,n
301,forward,0.5,s316:0.2_s316:0.05_s316L:0.1_ptfe:0.5,248,100,249.4,0,n
302,forward,0.5,s316:0.2_s316:0.05_s316L:0.1_ptfe:0.4,248,100,245.7,0,n
303,forward,4,s316:1_s316:0.4_ptfe:0.5,10,100,16.8,0,n
304,forward,4,s316:1_s316:0.4_ptfe:0.4,10,100,7.86,0,n
305,forward,4,s316:1_s316:0.4_ptfe:0.5,10,100,9.87,0,n
306,forward,4,s316:1_s316:0.4_ptfe:0.5,10,100,10.45,0,n
307,forward,4,s316:1_s316:0.4_ptfe:0.5,10,100,10.25,0,n
308,forward,12,s316:0.5_ aluminum :0.2_ aluminum:0.2_s316:0.5,3.5,250,1.73,0,n
309,forward,12,s316:0.5_ aluminum :0.2_ aluminum:0.2_s316:0.5,3.5,250,3.42,0,n
310,forward,1.5,s316:0.1_s316L:0.1_ptfe:0.1,3.3,149,9.04,0,n
311,forward,1.5,s316:0.1_s316L:0.1_ptfe:0.1,3.3,149,2.49,0,n
312,forward,1.5,s316:0.1_s316L:0.1_ptfe:0.1,3.3,149,2.59,0,n
313,forward,1.5,s316:0.1_s316L:0.1_ptfe:0.1,3.3,149,3.35,0,n
314,forward,1.5,s316:0.1_s316L:0.1_ptfe:0.1,3.3,149,3.18,0,n
315,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.5,0,n
316,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.3,0,n
317,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.65,0,n
318,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.49,0,n
319,forward,1.5,s316:0.1_s316:0.1_ptfe:0.1,3.3,149,3.71,0,n
